category,@id,name,description,supersededBy,nameZh,descriptionZh,alternateName,wikidataName,wikidataUrl,wikipediaUrl,schemaorgUrl
property,http://cnschema.org/image,image,An image of the item. This can be a URL or a fully described ImageObject.,,图片,图片,,image,https://www.wikidata.org/entity/P18,https://en.wikipedia.org/wiki/Image,http://schema.org/image
property,http://cnschema.org/inAlbum,inAlbum,The album to which this recording belongs.,,所属专辑,音乐所属的专辑,专辑,,,,http://schema.org/inAlbum
property,http://cnschema.org/inBroadcastLineup,inBroadcastLineup,The CableOrSatelliteService offering the channel.,,提供该频道的有线或者卫星服务,提供该频道的有线或者卫星服务,,,,,http://schema.org/inBroadcastLineup
property,http://cnschema.org/inLanguage,inLanguage,The language of the content or performance or used in an action. Please use one of the language codes from the IETF BCP 47 standard. See also availableLanguage.,,使用语言,使用的语言,,,,,http://schema.org/inLanguage
property,http://cnschema.org/inPlaylist,inPlaylist,The playlist to which this recording belongs.,,所属播放列表,音乐所属的播放列表,,,,,http://schema.org/inPlaylist
property,http://cnschema.org/incentiveCompensation,incentiveCompensation,Description of bonus and commission compensation aspects of the job.,,奖金补贴,奖金补贴,,,,,http://schema.org/incentiveCompensation
property,http://cnschema.org/incentives,incentives,Description of bonus and commission compensation aspects of the job.,http://schema.org/incentiveCompensation,奖金,奖金,,,,,http://schema.org/incentives
property,http://cnschema.org/includedComposition,includedComposition,Smaller compositions included in this work (e.g. a movement in a symphony).,,包含乐曲,包含乐曲,,,,,http://schema.org/includedComposition
property,http://cnschema.org/includedDataCatalog,includedDataCatalog,"A data catalog which contains this dataset (this property was previously 'catalog', preferred name is now 'includedInDataCatalog').",http://schema.org/includedInDataCatalog,所在数据集目录,所在的数据集目录,,,,,http://schema.org/includedDataCatalog
property,http://cnschema.org/includedInDataCatalog,includedInDataCatalog,A data catalog which contains this dataset.,,所在数据集目录,所在的数据集目录,,,,,http://schema.org/includedInDataCatalog
property,http://cnschema.org/includesObject,includesObject,This links to a node or nodes indicating the exact quantity of the products included in the offer.,,包含对象,包含的对象,,,,,http://schema.org/includesObject
property,http://cnschema.org/industry,industry,The industry associated with the job position.,,所属行业,职位关联的行业,所在行业,,,,http://schema.org/industry
property,http://cnschema.org/ineligibleRegion,ineligibleRegion,"The ISO 3166-1 (ISO 3166-1 alpha-2) or ISO 3166-2 code, the place, or the GeoShape for the geo-political region(s) for which the offer or delivery charge specification is not valid, e.g. a region where the transaction is not allowed. See also eligibleRegion.",,不适用地区,不适合区域,,,,,http://schema.org/ineligibleRegion
property,http://cnschema.org/ingredients,ingredients,"A single ingredient used in the recipe, e.g. sugar, flour or garlic.",http://schema.org/recipeIngredient,食材,菜谱中使用的食材,,,,,http://schema.org/ingredients
property,http://cnschema.org/installUrl,installUrl,"URL at which the app may be installed, if different from the URL of the item.",,APP安装地址,APP安装地址,,,,,http://schema.org/installUrl
property,http://cnschema.org/instructor,instructor,A person assigned to instruct or provide instructional assistance for the CourseInstance.,,教师,教授课程的人,授课者,,,,http://schema.org/instructor
property,http://cnschema.org/instrument,instrument,The object that helped the agent perform the action. e.g. John wrote a book with a pen.,,工具,工作时所需用的器具,,,,https://en.wikipedia.org/wiki/Instrument,http://schema.org/instrument
property,http://cnschema.org/interactionCount,interactionCount,"This property is deprecated, alongside the UserInteraction types on which it depended.",http://schema.org/interactionStatistic,交互总数,交互总数,,,,,http://schema.org/interactionCount
property,http://cnschema.org/interactionService,interactionService,The WebSite or SoftwareApplication where the interactions took place.,,交互对应的软件服务,交互对应的软件服务,,,,,http://schema.org/interactionService
property,http://cnschema.org/interactionStatistic,interactionStatistic,The number of interactions for the CreativeWork using the WebSite or SoftwareApplication. The most specific child type of InteractionCounter should be used.,,交互统计,交互统计,,,,,http://schema.org/interactionStatistic
property,http://cnschema.org/interactionType,interactionType,"The Action representing the type of interaction. For up votes, +1s, etc. use LikeAction. For down votes use DislikeAction. Otherwise, use the most specific Action.",,交互类型,交互类型,,,,,http://schema.org/interactionType
